"Ref","Name","Location","Type"
"K-0001","Acadia","US-ME","National Park"
"K-0002","Alagnak Wild River","US-AK","National Park"
"K-0003","Aniakchak","US-AK","National Park"
"K-0004","Arches","US-UT","National Park"
"K-0005","Badlands","US-SD","National Park"
"K-0006","Big Bend","US-TX","National Park"
"K-0007","Biscayne Bay","US-FL","National Park"
"K-0008","Black Canyon of the Gunnison","US-CO","National Park"
"K-0009","Bryce Canyon","US-UT","National Park"
"K-0010","Canyonlands","US-UT","National Park"
"K-0011","Capitol Reef","US-UT","National Park"
"K-0012","Carlsbad Caverns","US-NM","National Park"
"K-0013","Chaco Culture","US-NM","National Historical Park"
"K-0014","Channel Islands","US-CA","National Park"
"K-0015","Chesapeake and Ohio Canal","US-VA","National Historic Park"
"K-0016","Colonial","US-VA","National Historical Park"
"K-0017","Congaree","US-SC","National Park"
"K-0018","Crater Lake","US-OR","National Park"
"K-0019","Cumberland Gap","US-KY","National Historical Park"
"K-0020","Cuyahoga Valley","US-OH","National Park"
"K-0021","Death Valley","US-CA","National Park"
"K-0022","Denali","US-AK","National Park and Preserve"
"K-0023","Dry Tortugas","US-FL","National Park"
"K-0024","Everglades","US-FL","National Park"
"K-0026","Gates of the Arctic","US-AK","National Park and Preserve"
"K-0027","Gettysburg","US-PA","National Military Park"
"K-0028","Glacier","US-MT","National Park"
"K-0029","Glacier Bay","US-AK","National Preserve"
"K-0030","Grand Canyon","US-AZ","National Park"
"K-0031","Grand Teton","US-WY","National Park"
"K-0032","Great Basin","US-NV","National Park"
"K-0033","Great Sand Dunes","US-CO","National Park and Preserve"
"K-0034","Great Smoky Mountains","US-TN","National Park"
"K-0035","Guadalupe Mountains","US-TX","National Park"
"K-0036","Haleakala","US-HI","National Park"
"K-0037","Hawai'i Volcanoes","US-HI","National Park"
"K-0038","Hot Springs","US-AR","National Park"
"K-0039","Isle Royale","US-MI","National Park"
"K-0040","Jean Lafitte","US-LA","National Historical Park and Preserve"
"K-0041","Joshua Tree","US-CA","National Park"
"K-0043","Kalaupapa","US-HI","National Historical Park"
"K-0044","Katmai","US-AK","National Park"
"K-0045","Kenai Fjords","US-AK","National Park"
"K-0046","Kings Canyon","US-CA","National Park"
"K-0047","Kobuk Valley","US-AK","National Park"
"K-0048","Lake Clark","US-AK","Preserve and Wilderness"
"K-0049","Lassen Volcanic","US-CA","National Park"
"K-0050","Mammoth Cave","US-KY","National Park"
"K-0051","Mesa Verde","US-CO","National Park"
"K-0052","Mount Rainier","US-WA","National Park"
"K-0053","National Park of American Samoa","US-KH8","National Park"
"K-0054","Nez Perce","US-MT","National Historical Park"
"K-0055","North Cascades","US-WA","National Park"
"K-0056","Olympic","US-WA","National Park"
"K-0057","Petrified Forest","US-AZ","National Park"
"K-0058","Redwood","US-CA","National Park"
"K-0059","Rocky Mountain","US-CO","National Park"
